cid,name,population,province,lat,lon,closest_distance,closest_substation_index
1,Abbottabad ,105999,KPK,34.17,73.23,50.3999473097,15
2,Abdul Hakim,37821,Punjab,30.55,72.13,59.8375438519,7
3,Ahmadpur East,96032,Punjab,29.14,71.25,107.1686793569,6
4,Ahamdpur Sial,21110,Punjab,30.86,71.755,69.5286338761,7
5,Alipur,29499,Punjab,29.39,70.918,82.6242171467,6
6,Alipur Chatha ,38991,Punjab,32.266,73.814,19.6587183617,13
7,Amangarh,21337,KPK,34.006,71.928,36.3805748472,16
8,Arifwala,72392,Punjab,30.294,73.059,43.0187620283,9
9,Attock,69588,Punjab,33.776,72.356,9.2158909343,28
10,Badah,32376,Sindh,27.3307,68.016,73.2812594535,4
11,Badin,61302,Sindh,24.663,68.841,107.3992305562,3
12,Bahawalnagar,109642,Punjab,30.002,73.253,74.5991068859,9
13,Bahawalpur,403408,Punjab,29.385,71.6789,93.7393110008,6
14,Bannu,46896,Punjab,32.987,70.606,136.1212028709,16
15,Basirpur,35852,Punjab,30.576,73.835,64.5233697582,9
16,Bat Khela,38222,KPK,34.605,71.933,83.3256671238,16
17,Bhai Peru,54720,KPK,31.21,73.946,4.3964172952,33
18,Bakkar,68343,Punjab,31.536,74.268,3.037916335,30
19,Bhalwal,61067,Punjab,32.8166,72.066,108.4606205213,12
20,Bhera,31140,Punjab,32.481,72.909,83.5592858317,40
21,Burewala,149857,Punjab,30.1571,72.6784,7669.2165872449,1
22,Chak Azam sahu,32413,Punjab,30.752,73.029,16.2898052019,9
23,Chak Jhumra,31563,Punjab,31.571,73.182,11.2961537956,8
24,Chak Sarwar,26004,Punjab,30582,71.2345,4796.2324554884,1
25,Chakwal,80620,Punjab,32.936,72.853,58.4179357157,40
26,Chaman,65477,Balochistan,30916,66.451,7662.0640300878,1
27,Charsadda,84257,KPK,34.154,71.7435,31.1086379985,16
28,chawinda,20016,Punjab,32.345,74.704,31.2476592057,37
29,chichawatni,72272,Punjab,32.538,72.69,93.2783611,40
30,Chiniot,169282,Punjab,31.728,72.989,32.1478006698,8
31,Chishtian,101659,Punjab,29.772,72.91,102.8081738019,9
32,Chitral,29940,KPK,35.84,71.782,211.3790058083,35
33,Chuhar kana,57601,Punjab,31.741,73368,11775.3779237036,16
34,Chunian,455552,Punjab,30.967,73.976,29.4125190188,33
35,Dadu,98575,Sindh,26.73,67.773,3.3124806391,4
36,Daharki,33400,Sindh,28.044,69.687,7.2877144738,17
37,Daska,101500,Punjab,32.332,74.353,16.511570049,37
38,Daud Khel,22387,Punjab,32.874,71.57,117.1909193727,16
39,Dera Allah Yar,37264,Balochistan,28.371,68.348,28.652659654,21
40,Dera Ghazi Khan,188149,Punjab,30.049,70.643,50.3639125087,26
41,Dera Ismail Khan ,90357,KPK,31.84,70.889,190.2038698081,7
42,Dera Murad Jamali,37766,Balochistan,28.54,68.217,5.9206116776,21
43,Digri,26533,Sindh,25.154,69.11,91.9363830617,3
44,Dijkot,23298,Punjab,31.217,72.995,24.7326959776,25
45,Dina,38597,Punjab,33.344,73.603,24.4264313273,21
46,Dinga,33186,Punjab,32.641,73.723,51.7219585448,10
47,Dipalpur,55687,Punjab,30.672,73.65,45.9655871724,9
48,Dir,24776,KPK,35.203,71.874,144.4300317697,35
49,Dullewalla,41290,Punjab,31.84,71.435,7669.2165872449,1
50,Dunyapur,28875,Punjab,29.804,71.737,50.588172628,7
51,Faisalabad,1977246,Punjab,31.454,73.092,5.8607249174,8
52,Faqirwali,21362,Punjab,29.471,73.042,133.7739103822,9
53,Fatehjang,24973,Punjab,33.565,72.64,42.8365039433,28
54,Fazipur,23929,Punjab,29.292,70.453,113.3239879548,6
55,Firozwala,54223,Punjab,31.666,74.274,7.4152084515,32
56,Fort Abbas,34457,Punjab,29.194,72.855,166.7865229279,9
57,Gambat,28335,Sindh,27.35,68.521,104.310668039,4
58,Garh Maharaja,24726,Punjab,30.834,71.904,70.9574172166,7
59,Ghakhar,45476,Sindh,32.299,74.145,0.7582941998,36
60,Ghauspur,24804,Sindh,28.136,69.079,30.6187010065,18
61,Ghotki,51401,Sindh,28.003,69.312,5.7182661645,18
62,Gojra,114967,Punjab,29.678,71.915,69.5128053583,7
63,Guddu,24073,Sindh,28.431,69.687,0.5947853103,5
64,Gujar khan,57152,Punjab,33.255,73.303,24.6869623191,40
65,Gujranwala,1124799,Punjab,32.162,74.182,14.8699176717,36
66,Gujranwala Cantonment,92808,Punjab,32.163,74.18,14.7210513239,36
67,Gujrat,250121,Punjab,32.578,74.068,32.6104315954,36
68,Gwadar,43850,Balochistan,25.199,62.238,450.0585709802,1
69,Hadali,39723,Punjab,32.291,72.193,128.1576406198,8
70,Hafizabad,130216,Punjab,32.069,73.679,20.8447116687,13
71,Hala,39926,Punjab,25.813,68.42,40.2495984238,3
72,Hangu,29986,KPK,33.53,71.065,62.6567373742,16
73,Haripur,47262,KPK,33.999,72.934,24.3749432253,15
74,Harunabad,62702,Punjab,29.613,73.133,117.4734533153,9
75,Hasan Abdal,37789,Punjab,33.822,72.686,29.4707925654,15
76,Hasilpur,69647,Punjab,29.692,72.543,108.6066353666,7
77,Haveli,51741,Punjab,30.452,73.69,55.3793431365,9
78,Hazro,22314,Punjab,33.906,72.493,25.9122107901,28
79,Hab,63757,Balochistan,24.993,66.851,7.8739874973,2
80,Hujra Shah Muqim,47719,Punjab,30.738,73.822,57.0186390838,33
81,Hyderabad,1151274,Sindh,25.38,68.355,13.924368482,3
82,Islamabad,529180,ICA,33.68,72.989,29.093808837,14
83,Jacobabad,137733,Sindh,28.284,68.443,41.9602180688,21
84,Jahangira,30537,KPK,33.963,72.206,20.8005208179,28
85,Jahania,24677,Punjab,31.805,72.276,90.5483607036,8
86,Jalalpur,68733,Punjab,32.649,74.055,38.4098753892,37
87,Jalapur Battan,20986,Punjab,32.644,74.205,26.8717143025,37
88,Jalalpur Priwala,31715,Punjab,29.507,71.223,66.2803608682,6
89,Jamke chima,20134,Punjab,32.387,74.404,9.5821005184,37
90,Jampur,51026,Punjab,32.33,74.619,25.4287185761,37
91,Jaranwala,103308,Punjab,31.335,73.419,26.7013739608,25
92,Jatoi,38081,Punjab,29.507,70.848,72.8530051317,6
93,Jauharababad,39477,Punjab,32.289,72.276,122.5971513782,8
94,Jhang,292214,Punjab,31.269,72.322,79.6833468926,25
95,Jhawarian,23658,Punjab,32.36,72.622,110.4586487621,8
96,Jhehlam,145847,Punjab,32.938,73.718,18.6982175192,10
97,Jhudo,21588,Sindh,24.967,69.296,117.9449648587,3
98,Kabirwala,46265,Punjab,30.405,71.861,29.4796495333,7
99,Kahna Nau,38920,Punjab,31.373,74.363,3.4387375118,34
100,Kahror Pakka,58124,Punjab,29.6356,71.909,7669.2165872449,1
101,Kalat,22559,Balochistan,29.029,66.586,117.1115408936,24
102,Kamalia,95291,Punjab,30.725,72.645,50.525659425,9
103,Kambar,57230,Sindh,27.5909,68.001,100.3338769422,4
104,Kamir,20401,Punjab,30.428,73.041,29.4838132253,9
105,Kamoke,150984,Punjab,31.975,74.223,23.6261905176,38
106,Kamra Cantonment,37131,Punjab,33.865,72.439,19.2944976744,28
107,Kandiaro,22337,Sindh,27.058,68.209,59.7345143568,4
108,Karachi,9269265,Sindh,24.988,67.06,13.5350642848,2
109,Karor Lal esan,21742,Sindh,31.224,70.952,125.8075711424,7
110,Kasur,241649,Punjab,31.119,74.448,29.0173864153,29
111,Khairpur,102188,Sindh,27.517,68.756,82.3222950256,18
112,Kashmor,28108,Sindh,28.436,69.589,10.1892616245,5
113,Khairpur Nathan Shah,25236,Sindh,27.089,67.733,41.214848538,4
114,Khairpur Tamewali,26265,Punjab,29.58,72.235,95.2109560107,7
115,Khalabat,33938,KPK,34.075,72.549,12.8805784824,35
116,Khandhkut,66727,Sindh,28.244,69.182,30.2248747441,18
117,Khanewal,132962,Punjab,30.299,71.9255,30.4024193353,7
118,Khangah Dogran,25711,Punjab,29.925,71.164,19.5775361351,6
119,Khanpur,117764,Punjab,28.646,70.653,96.7597416876,5
120,Kharak,27029,KPK,33.112,71.093,99.9125225783,16
121,Kharan,26057,Balochistan,28.413,65.42,138.7839435997,19
122,Kharian,23553,Punjab,32.81,73.882,36.632146113,10
123,Kharian cantonment,48337,Punjab,32.812,73.881,36.3912950849,10
124,Khewra,27667,Punjab,32.634,73.009,64.4378054386,40
125,Khipro,23939,Sindh,25.826,69.3756,117.53815164,3
126,Khandian,25891,Punjab,29.537,71.691,7669.2165872449,1
127,Khurrianwala,29933,Punjab,31.495,73.281,7669.2165872449,1
128,Khushab,87294,Punjab,32.287,72.346,118.0819759144,8
129,Khuzdar,93060,Balochistan,27.809,66.613,5.324230056,19
130,Kohat,125271,KPK,33.574,71.426,40.8403248114,16
131,Kot Abdul Malik,58827,Punjab,31.622,74.236,7.495136234,32
132,Kot Addu,79054,Punjab,30.463,70.967,43.8136542089,26
133,Kot Diji,21345,Sindh,27.341,68.707,99.8917689216,18
134,Kot Munim,34273,Punjab,32.1879,73.026,7669.2165872449,1
135,Kot Radh Kishan,38936,Punjab,31.164,74.101,13.3482087907,33
136,Kotri,61130,Sindh,25.354,68.272,13.7718546089,3
137,Kunri,22309,Sindh,25.178,69.566,134.607884046,3
138,Kundian,32607,Punjab,32.454,71.485,163.8155914985,12
139,Kunjah,23836,Punjab,32.53,73.973,31.0715349057,36
140,Lahore,5063499,Punjab,31.485,74.308,4.0043671867,31
141,Lakki Marwat,30186,KPK,32.606,70.905,158.5541500658,16
142,Lala Mosa,59484,Punjab,32.701,73.955,48.8765776222,36
143,Larhkana,270366,Sindh,27.559,68.209,104.2541438153,4
144,Leiah,70272,Punjab,30.968,70.948,97.9300279828,26
145,Liaqatabad,25244,Punjab,30.174,71.439,18.7178980815,7
146,Liaqatpur,31497,Punjab,28.9377,70.95,131.0435548682,6
147,Lodhrian,64925,Punjab,29.539,71.633,77.0161854978,6
148,Loralai,31925,Balochistan,30.377,68.584,118.7670572551,22
149,Ludhewala wariach,33720,Punjab,30.001,70.717,44.4283416729,26
150,Mailsi,54099,Punjab,29.802,72.169,72.7279439644,7
151,Malakwai,30851,Punjab,32.552,73.206,62.6607489714,40
152,Mamu Kanjan,27068,Punjab,30.825,72.804,38.9910169135,9
153,Manawal Jodh,24115,Punjab,32.296,75.67,120.1516154316,37
154,Mandi Bahawuddin,97340,Punjab,32.574,73.489,55.7249437693,40
155,Mansehra,52095,KPK,34.334,73.204,54.5305795412,15
156,Mardan,244511,KPK,34.194,72.042,50.0309109757,28
157,Mastang,24571,Balochistan,29.798,66.845,32.900926174,23
158,Matli,41995,Sindh,25.05,68.657,61.5615861746,3
159,Mehar,25355,Sindh,27.176,67.819,51.4440101118,4
160,Mehrabpur,29383,Sindh,27.1002,68.418,79.3180535433,4
161,Mian Chunnun,64261,Punjab,30.438,72.351,73.7875142361,7
162,Miawali,79996,Punjab,32.578,71.549,148.7900920917,12
163,Minchinabad,24811,Punjab,30.161,73.565,68.0421804424,9
164,Mingaora,174469,KPK,34.772,72.373,81.1542814678,35
165,Mirpur Khas,1844465,Sindh,25.527,69.018,75.4271896915,3
166,mirpur Mathelo,41089,Sindh,28.021,69.55,12.9599560817,17
167,Mitha Tiwwana,23737,Punjab,32.244,72.109,130.390486826,8
168,Moro,59321,Sindh,26.664,68.001,26.4077123433,4
169,Multan,1182441,Punjab,30.203,71.481,13.7352059525,7
170,Muridke,1082441,Punjab,31.804,74.256,4.4012153026,38
171,Murre,21413,Punjab,33.905,73.39,50.7971221561,14
172,Mustafabad,37048,Punjab,31.553,74.367,7.9776042142,32
173,Muszaffargarh,121641,Punjab,30.076,71.188,3.4713002596,6
174,Nankana Shahib,48723,Punjab,31.449,73.706,35.8729653074,33
175,Narang,29497,Punjab,31.904,74.513,28.7881038064,38
176,Narowal,57035,Punjab,32.099,74.876,60.5647671992,37
177,Nasirabad,23172,Sindh,31.455,74.254,6.4722004848,30
178,Naudero,27877,Sindh,27.666,68.36,103.3816457882,21
179,Naushera Virkan,33845,Punjab,31.963,73.975,17.2945706215,13
180,Nawabshah,183110,Sindh,26.243,68.392,83.5266582798,4
181,Nowshera,89428,KPK,34.00123,71.986,34.8658784599,12
182,Nushki,23386,Balochistan,29.554,66.021,108.9004847618,23
183,Okara,200901,Punjab,30.809,73.459,31.7552612583,9
184,Okara Cantonment,57423,Punjab,30.891,73.446,36.1607724877,9
185,Pabbi,30946,KPK,34.01,71.79,24.3789335991,16
186,Pakpattan,107791,Punjab,30.344,73.385,41.6239207944,9
187,Pano Aqil,40311,Sindh,27.819,69.132,32.3614968345,18
188,Pano Aqil Cantonment,201418,Sindh,27.845,69.137,30.0137061629,18
189,Pasni,27974,Balochistan,25.283,63.399,334.4601850459,1
190,Pasrur,43960,Punjab,32.2593,74.67,7669.2165872449,1
191,Pattoki,58264,Punjab,31.023,73.844,26.7733335214,33
192,Peshawar,988055,KPK,33.991,71.513,7.6294243049,16
193,Phalia,217025,Punjab,32.426,73.576,46.8334972756,13
194,Pindi Bhattan ,29760,Punjab,31.902,73.271,49.0400984481,8
195,Pindi Gheb,29837,Punjab,33.242,72.268,59.7735035519,12
196,Pirjo Goth,29612,Sindh,27.591,68.621,87.6270744995,18
197,Pir Mahal,29976,Punjab,33.647,73.08,21.2706270503,14
198,Pishin,20479,Balochistan,30.699,67.151,71.8773650217,23
199,Qila Didar Singh,40943,Punjab,32.133,74.017,11.8140689123,13
200,Quetta,560307,Balochistan,30.179,66.989,12.2017832874,23
201,Rabwah,42844,Punjab,31.755,72.916,38.3463340151,8
202,Rahimrar Khan,228479,Punjab,28.414,70.304,59.7748337118,5
203,Raiwand,26759,Punjab,31.244,74.215,10.200761048,29
204,Raja Jung,20701,Punjab,31.218,74.258,12.0440739761,29
205,Ratodero,39846,Sindh,27.801,68.289,87.5058218137,21
206,Rajapur,42986,Punjab,29.585,71.679,73.8128310283,7
207,Rawalpindi,1406214,Punjab,33.566,73.033,17.4984298934,14
208,Renala Khued,31476,Punjab,30.88,73.598,47.1925969738,9
209,Pisalpur Cantonment,31259,KPK,34.072,71.982,41.0312346693,12
210,Rohri,44143,Sindh,27.679,68.896,60.0266930352,18
211,Sadiqabad,141509,Punjab,28.303,70.123,44.4204457512,5
212,safdarabad,20074,Punjab,31.728,73.578,43.8809598306,11
213,Sahiwal,207388,Punjab,30.66,73.101,6.6186051393,9
214,Sakrand,26356,Sindh,26.139,68.265,73.5216585014,3
215,Samasata,20664,Punjab,29.344,71.548,91.889401983,6
216,Sambrial,48696,Punjab,32.479,74.356,4.8975988391,37
217,Samundri,54106,Punjab,31.062,72.952,41.6592351924,25
218,Sanghar,50259,Sindh,26.043,68.947,92.5613246869,3
219,Sangla,49445,Punjab,31.717,73.375,34.5056645158,8
220,Sarai Alamgir,37262,Punjab,32.903,73.753,22.9326698741,10
221,Sargoda,455360,Punjab,32.067,72.693,78.8750305267,8
222,Sehwan,34289,Sindh,26.417,67.858,35.4397180568,4
223,Setharja,27207,Sindh,25.967,68.884,82.2289110959,3
224,Shabqadar,53597,KPK,34.216,71.56,32.0856207013,16
225,Shahdadpur,58802,Sindh,25.923,68.627,61.166473776,3
226,Shahkot ,39744,Punjab,31.576,73.479,33.2535874696,8
227,Sharqpur,27018,Punjab,31.465,74.099,15.3270701704,30
228,Sheikupura,271875,Punjab,31.71,74.01,3.5245912022,27
229,Shorkot,26707,Punjab,30.833,72.076,78.7666864985,7
230,Shorkot Contonment,25082,Punjab,30.835,72.077,79.0042809136,7
231,Shujaabad,56706,Punjab,29.876,71.305,28.3588914425,6
232,Sialkot,417597,Punjab,32.495,74.539,12.5498421768,37
233,Sibi,48219,Balochistan,29.551,67.867,4.052724799,22
234,Silanwali,22920,Punjab,31.822,72.54,69.5172456136,8
235,Sita Road,22987,Sindh,27.042,67.853,37.6175016497,4
236,Sujawal,22996,Sindh,24.604,68.0766,99.0663201886,3
237,Sukkur,329176,Sindh,27.712,68.833,62.7897549094,18
238,Sukheke,27850,Punjab,31.864,73.509,45.2222185045,13
239,Sawabi,78960,KPK,34.119,72.474,19.9405753011,35
240,Takht I Bhai,49425,KPK,34.284,71.935,53.4701590883,16
241,Talagang,36533,Punjab,32.927,72.407,95.328383594,14
242,Talamba,23876,Punjab,30.525,72.241,67.5790208999,7
243,Tandianwala,33838,Punjab,31.032,73.131,40.5304597614,9
244,Tando Adam,103363,Sindh,25.767,68.659,50.6707286599,3
245,Tando Allahyar,86056,Sindh,25.46,68.712,44.5746937528,3
246,Tando Jam,26341,Sindh,25.43,68.54,27.7806374378,3
247,Tando Muhammad Khan,62087,Sindh,25.122,68.535,47.7864096115,3
248,Tangi,24424,KPK,34.3,71.651,42.5314947151,16
249,Tank,33930,KPK,32.21,70.3821,219.5930390343,16
250,Taunsa,38056,Punjab,30.706,70.649,82.8283407627,26
251,Taxila,48115,Punjab,33.752,72.815,38.9483987458,15
252,Taxila Cantonment,23653,Punjab,33.726,72.836,42.2920559116,15
253,Thal ,24330,KPK,33.365,70.549,111.4204277489,16
254,Thatta,36915,Sindh,24.747,67.922,88.4313278831,3
255,Thul,28724,Sindh,28.235,68.773,62.5375051825,18
256,Timargara,43774,KPK,34.828,71.839,103.6799870284,16
257,Toba Tek Singh,58665,Punjab,30.968,72.483,73.4970666083,9
258,Topi,30144,KPK,34.069,72.639,5.0506895132,35
259,Tordher,27574,KPK,33.989,72.285,23.3129331348,28
260,Trinda Sawai Khan,20400,Punjab,,,7669.2165872449,1
261,Turbat,67905,Balochistan,26.005,63.058,384.9672369586,1
262,Uch,20350,Punjab,29.233,71.062,97.0493182919,6
263,Umarkot,35059,Sindh,25.362,69.742,148.5498654311,3
264,Usta Muhammad ,37160,Balochistan,28.178,68.041,46.9362477478,21
265,Utmanzai,24406,KPK,34.19,71.764,35.464318282,16
266,Vihari,92334,Punjab,30.049,72.348,73.8396552349,7
267,Wah Cantonment,198431,Punjab,33.769,72.758,35.8846048316,15
268,Warburton,20606,Punjab,31.539,73.831,22.9671366804,11
269,Wazriabad,89652,Punjab,32.429,74.118,15.4289873287,36
270,Yazman,208848,Punjab,28.74688,71.925,167.541062048,6
271,Zahir Pir,28940,Punjab,28.81,70.518,90.8634043002,5
272,Zaida,22220,KPK,34.057,72.47,20.3821005087,35
